codigo,nombre,costo_neto,precio_venta,marca_fabricante
CE-003,TRANSISTOR MOSFET 6N60 (IRF830),0.00,,""
CE-005,TRANSISTOR PUT 2N 6028,0.00,,""
CE-015,REGULADOR 7805,0.00,,""
CE-016,CIRCUITO INTEGRADO LM3914N,0.00,,""
CE-017,TIRA DE 10 LED AMARILLO,0.00,,""
CP-005,"CAPACITOR CERAMICO 0,1uF X 50V",0.00,,""
DESPRAX,Desfibrilador Mindray C1A,0.00,,""
DI-009,DIODO 8A 100V,0.00,,""
DIR-02C,Filtro de aire (Pack x 4)PC-305,436500.00,,""
DIR-10,Sensor temperatura de piel reusable PC-307,145500.00,,""
DIR-17,Pasacánulas cristal x 2 PC-305,21825.00,,""
ET-006,ETIQUETA BASE MARBEL 400,0.00,,""
FI-002,FILTRO CONCENTRADOR EVERFLOW ORIGINAL,58927.50,71442.00,""
FL-001,FLAPPER BOMBA DE VACIO MOVI VAC,2910.00,,""
IN-001,Vacuómetro diámetro 52MM Fij. Frontal,39285.00,,""
IN002,Vacuómetro diametro 50mm p/aspirador SILFAB,29100.00,,""
LA-003,LABIO DE BOMBA DE VACIO MOTORCOM,0.00,,""
ME-014,PORTA FUSIBLE 5X20 P/IMPRESO C/TAPA,0.00,,""
ME-019,CONECTOR TIPO JAPONES 2 VIAS HEMBRA A CABLE,0.00,,""
ME-020,COMPRESOR COMPLETO LONGFIAN JAY-5,138225.00,188527.50,""
ME-025,FUSIBLE 6 X 30 MM  8 A,0.00,,""
ME-027,LLAVE REDONDA C/LUZ UNIPOLAR,0.00,,""
ME-028,TOMA DE ALIMENTACION DOBLE,0.00,,""
ME-029,"PRENSACABLE 1/2"" COLOR GRIS",0.00,,""
ME-031,PORTA FUSIBLE 6 X 30  P/PANEL,0.00,,""
ME-035,CABLE PARALELO 2 X 1.5 MM2 POLARIZADO,0.00,,""
ME-041,BATERÍA GEL 6V 4AH,43650.00,,""
ME-042,CABLE 1 X 1 MM NEGRO,0.00,,""
ME-043,CABLE DOBLE8,2910.00,10290.00,""
ME-046,COMPRESOR 12V COMPLETO MOVI VAC,92683.50,,""
ME-047,INTERRUPTOR  UNIPOLAR REDONDO,0.00,,""
ME-053,"FUENTE DE ALIMENTACION 12,5V 3A MOVI-VAC",66930.00,,""
ME-054,Jack DC p/chasis,2182.50,,""
ME-061,"BATERIA GEL 12V 2,9 A",0.00,,""
ME-070,"HEADER 0,156 RECTO 5 VIAS",0.00,,""
ME-071,ZOCALO PARA CIRCUITO INTEGRADO 9 + 9 PATAS,0.00,,""
ME-072,ZOCALO PARA CIRCUITO INTEGRADO 10+10 PATAS,0.00,,""
ME-075,CR1632 POLYWACH,4656.00,9408.00,""
ME-081,"BATERIA 6V 2,9 A/H",46560.00,63504.00,""
ME-086,"BATERIA GEL 6V 1,2 AH",0.00,,""
ME-087,"BATERIA GEL 12V 1,3 AH",0.00,,""
MP-010,CARCAZA SUPERIOR ASPIRADOR,0.00,,""
MP-011,TAPA INFERIOR ASPIRADOR,0.00,,""
MP-013,PLACA DE CONTROL,58200.00,,""
MP-014,CARCAZA INFERIOR BASE MARBEL 320,101850.00,,""
MP-015,GUIA CALIBRACION,2619.00,,""
MP-016,BASE CONCENTRADOR LONGFIAN JAY 5-Q,72750.00,99225.00,""
MP-017,Jarra aspirador plástica,14550.00,,""
MP-027,Carcaza plástica MOVI-VAC fase 2,48015.00,,""
MP-029,PRECINTO PLASTICOS 250 MM,0.00,,""
MP-033,MALLA PLASTICA MOSQUITERO,0.00,,""
MP-035,CARCAZA FRENTE ASPIRADOR,0.00,,""
MP-036,CARCAZA POSTERIOR ASPIRADOR,0.00,,""
MP-042,MANIJA VOLCABLE P/VALVULA SUPERIOR CON ESPINA,9166.50,11113.20,""
MP-043,CARCAZA INFERIOR C-600,0.00,,""
MP-044,CARCAZA LATERAL C-600,0.00,,""
MP-045,SOPORTE JACK PVC IMPRESO A-550/A-220,3637.50,,""
MP-047,SOPORTE PLASTICO EN 3D VALVULA REG. DE VACIO(REPARACION),4365.00,,""
MP-048,CODO DOBLE ESPIGA,0.00,,""
MV-001,TIRA DE VELCRO,0.00,,""
PF-001,PORTA FILTRO CPAP/BPAP GII BMC,552900.00,749700.00,""
