brand_norm,model_norm,cluster_id,canonical_model_norm
ESAOTE,,1,
EVERFLO,,1,
EVERFLO,RESPIRONICS,2,RESPIRONICS
EVERFLO,5 LTS,3,5 LTS
EVERFLOW,,1,
F & P,,1,
F&P,,1,
FEAS ELECTRONICA,3850B BIFASICO,1,3850B BIFASICO
FICHER & PAYKEL,,1,
FINGER,DS-100,1,DS-100
FIORINO,7 ED,1,7 ED
FIORINO,,2,
FIORINO,CICLADO,3,CICLADO
FIORINO,SUCION UNIT,4,SUCION UNIT
FIORINO,FIORINO,5,FIORINO
FISHER & PAYKEL,HC-150,1,HC-150
FISHER & PAYKEL,MR-410,2,MR-410
FISHER & PAYKEL,HC-100,3,HC-100
FISHER & PAYKEL,150,4,150
FISHER & PAYKEL,MR428,5,MR428
FISHER & PAYKEL,MR-700,6,MR-700
FISHER & PAYKEL,410,7,410
FISHER & PAYKEL,,8,
FISHER & PAYKEL,HR40,9,HR40
FISHER & PAYKEL,420,10,420
FISHER & PAYKEL,M150,11,M150
FISHER & PAYKEL,428,12,428
FISHER & PAYKEL,HC-221,13,HC-221
FISHER Y PAYKEL,,1,
FUKUDA,CARDIMAX,1,CARDIMAX
FUKUDA,,2,
G3G,MEDITECH,1,MEDITECH
G3H,,1,
GENERAL ELECTRIC,ISLEEP,1,ISLEEP
GII,Y25T,1,Y25T
GOOD KINGHT,420G,1,420G
GOODKNIGHT,4206,1,4206
HAND,,1,
HARMONY,,1,
HARMONY,RESPIRONICS,2,RESPIRONICS
HARMONY,HARMONY,3,HARMONY
HC-150,,1,
HEALTHDYNE,QUANTUM,1,QUANTUM
HEWLETT PACKARD,CODE MASTER,1,CODE MASTER
HEWLETT PACKARD,43100,2,43100
HOFFRCHTER,CARAT2,1,CARAT2
HOFFRICHTER,CARAT 2,1,CARAT 2
HOFFRICHTER,VECTOR 20,2,VECTOR 20
HOFFRICHTER,VECTOR,3,VECTOR
HOFFRICHTER,POINT,4,POINT
HOFFRICHTER,VECTOR ST-20,5,VECTOR ST-20
HOFRICHTER,CARAT II,1,CARAT II
HP,VIRIDIA,1,VIRIDIA
HP,CODE MASTER,2,CODE MASTER
HP,,3,
HYPNUS,,1,
INNMED,IKO 3,1,IKO 3
INNOMED,IKO 3,1,IKO 3
INNOMED,,2,
INNOMED,IKO III,3,IKO III
INNOMED,HEART MIRROR 37 IKO,4,HEART MIRROR 37 IKO
INNOMED,10 DERIVACIONES,5,10 DERIVACIONES
INOGEN,G3,1,G3
INOGEN,G4,2,G4
INOGEN,AT HOME,3,AT HOME
INOGEN,G2,4,G2
INOGEN,G5,5,G5
INOGEN AT HOME,AT HOME,1,AT HOME
INOGEN G3,G3,1,G3
INOGEN ONE,G3,1,G3
INOGEN ONE,G4,2,G4
INOGEN ONE,AT HOME,3,AT HOME
INOGEN ONE,6,4,6
INOGEN ONE,8 CELDAS,5,8 CELDAS
INOGEN ONE,ONE G4,6,ONE G4
INOGEN ONE,AT HOME GS-100,7,AT HOME GS-100
INOGEN ONE,G5,8,G5
INTERMED,S/MODELO,1,S/MODELO
INVACARE,INVACARE 5,1,INVACARE 5
INVACARE,5,2,5
INVACARE,PLATINIUM 5,3,PLATINIUM 5
INVACARE,PERFECTO 2,4,PERFECTO 2
INVACARE,PLATINIUM 10,5,PLATINIUM 10
INVACARE,HOMFICC2,6,HOMFICC2
INVACARE,PERFECTO 5,7,PERFECTO 5
INVACARE,LT,8,LT
INVACARE,S,9,S
ISLEEP,10,1,10
JAY,5Q,1,5Q
KAIROS,MX1,1,MX1
KAIROS,,2,
KANGAROO,324,1,324
KANGAROO,224,2,224
KANGAROO,EPUMP,3,EPUMP
KANGAROO,924,4,924
KANGAROO,S24,5,S24
KANGAROO,,6,
KENDALL,RESPONSE,1,RESPONSE
KENDALL,RESPONS,2,RESPONS
KINGON,P2,1,P2
KONSUNG,KSOC-5,1,KSOC-5
KONSUNG,9EB,2,9EB
KONSUNG,,3,
KONSUNG,KSOC,4,KSOC
KONSUNG,BROCHE ADULTO,5,BROCHE ADULTO
KONSUNG,AURORA 8,6,AURORA 8
KONSUNG,9A-26B,7,9A-26B
KONSUNG,AURORA12,8,AURORA12
KONSUNG,MONITOR,9,MONITOR
LAERDAL,NN,1,NN
LED,,1,
LEEX,1M8,1,1M8
LEISTUNG,LUFT 2,1,LUFT 2
LESITUNG,,1,
LICFAMA,AUTOVAC-1,1,AUTOVAC-1
